case,project,file,file_name,class,start_line,end_line,displacement,level,level_num,source_file
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Assigment with sum (total = total + 1),19,19,8,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple Assignment,11,11,12,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Assigment with sum (total = total + 1),12,12,12,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple Assignment,14,14,16,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple If statements,20,21,8,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple If statements,13,14,12,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,1 Nested For Loop,9,14,4,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple For Loop,17,21,4,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple For Loop,10,14,8,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Function with Simple argument,5,23,0,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Return,23,23,4,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Return,21,21,12,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bfs,breath_first_search.py,breath_first_search.py,Simple List,20,20,9,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bfs,breath_first_search.py,breath_first_search.py,Simple List,21,21,9,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bfs,breath_first_search.py,breath_first_search.py,Simple List,22,22,9,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bfs,breath_first_search.py,breath_first_search.py,Simple List,23,23,9,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bfs,breath_first_search.py,breath_first_search.py,Simple List,24,24,9,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bfs,breath_first_search.py,breath_first_search.py,Simple List,25,25,9,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bfs,breath_first_search.py,breath_first_search.py,Simple List,5,5,26,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bfs,breath_first_search.py,breath_first_search.py,Simple List,6,6,22,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bfs,breath_first_search.py,breath_first_search.py,Simple Tuple,5,5,8,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bfs,breath_first_search.py,breath_first_search.py,Simple Tuple,5,5,26,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bfs,breath_first_search.py,breath_first_search.py,6 List Dictionary,19,26,8,B1,3,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bfs,breath_first_search.py,breath_first_search.py,Print,28,28,0,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bfs,breath_first_search.py,breath_first_search.py,Simple Atributte,9,9,24,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bfs,breath_first_search.py,breath_first_search.py,Simple Atributte,10,10,12,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bfs,breath_first_search.py,breath_first_search.py,Simple Atributte,14,14,20,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bfs,breath_first_search.py,breath_first_search.py,Simple Atributte,15,15,20,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bfs,breath_first_search.py,breath_first_search.py,Subscript,12,12,24,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bfs,breath_first_search.py,breath_first_search.py,Simple Assignment,19,26,0,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bfs,breath_first_search.py,breath_first_search.py,Simple Assignment,5,5,8,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bfs,breath_first_search.py,breath_first_search.py,Simple Assignment,6,6,8,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bfs,breath_first_search.py,breath_first_search.py,Simple Assignment,9,9,12,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bfs,breath_first_search.py,breath_first_search.py,From,1,1,0,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bfs,breath_first_search.py,breath_first_search.py,Alias,1,1,24,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bfs,breath_first_search.py,breath_first_search.py,Simple If statements,4,17,4,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bfs,breath_first_search.py,breath_first_search.py,Simple If statements,13,15,16,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
