case,project,file,file_name,type,name,complexity,radon_grade,radon_grade_num,lineno,endline,col_offset,parent,closure_depth,source_file
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Speaking_Dictionary/SpeakingDictionary.py,SpeakingDictionary.py,method,SpeakWord,1,A,1,9,17,4,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Captcha_Genrator/Captcha_Genrator.py,Captcha_Genrator.py,function,verify,2,A,1,22,29,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Captcha_Genrator/Captcha_Genrator.py,Captcha_Genrator.py,function,refresh,2,A,1,31,39,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Easy_cartoonify/easy_cartoonify.py,easy_cartoonify.py,function,find_the_image,4,A,1,9,18,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Image_watermark/watermark.py,watermark.py,function,watermark_photo,2,A,1,4,29,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Time_to_load_website/time_to_load_website.py,time_to_load_website.py,function,get_load_time,3,A,1,5,26,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Billing_system/biling_system.py,biling_system.py,method,bill_area,27,D,4,288,345,4,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Billing_system/biling_system.py,biling_system.py,class,Bill_App,6,B,2,7,420,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Billing_system/biling_system.py,biling_system.py,method,find_bill,5,A,1,360,371,4,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Billing_system/biling_system.py,biling_system.py,method,save_bill,2,A,1,348,357,4,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
